2020-04-02 16:49:20.445  INFO [sipladservicediscovery,,,] 9064 --- [main] .d.s.s.SipladServiceDiscoveryApplication : The following profiles are active: default
2020-04-02 16:49:21.023  WARN [sipladservicediscovery,,,] 9064 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-04-02 16:49:21.207  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=e0a071e2-5d87-3c8c-a01e-d5896ae202b9
2020-04-02 16:49:21.647  WARN [sipladservicediscovery,,,] 9064 --- [main] io.undertow.websockets.jsr               : UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2020-04-02 16:49:21.668  INFO [sipladservicediscovery,,,] 9064 --- [main] io.undertow.servlet                      : Initializing Spring embedded WebApplicationContext
2020-04-02 16:49:21.668  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1209 ms
2020-04-02 16:49:21.759  WARN [sipladservicediscovery,,,] 9064 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-02 16:49:21.759  INFO [sipladservicediscovery,,,] 9064 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-02 16:49:21.767  INFO [sipladservicediscovery,,,] 9064 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@4288d98e
2020-04-02 16:49:23.299  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2020-04-02 16:49:23.808  WARN [sipladservicediscovery,,,] 9064 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-02 16:49:23.809  INFO [sipladservicediscovery,,,] 9064 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-02 16:49:24.031  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-04-02 16:49:25.621  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
